title,company,location,job_type,salary,description
IT Support Technician,Capral Aluminium,Huntingwood NSW,Full time,,"Provide front-line IT support via various channels • Troubleshoot hardware, software, network, and mobile device issues • Strong knowledge of Microsoft Windows OS and Microsoft 365"
Service Desk Technician,Snowy Hydro,Bathurst NSW,,,"Provide 1st and 2nd level IT support to employees • Deploy and maintain various technology devices across business locations • Experience with ITIL, Windows 10, ChromeOS, Active Directory, ticketing systems"
IT Level 2 Support,Total Resource Solutions,Newcastle NSW,Contract,$34 - $42,"Provide day-to-day IT support to end users at two sites • Troubleshoot and resolve hardware, software, and network issues • Maintain accurate documentation and assist in service desk requests"
It Support Technician,Falcones Bakery,Minto NSW,Full time,"$75,000 - $85,000","1-3 years IT support experience in fast-paced manufacturing environment • Strong knowledge of hardware, operating systems, and network concepts • Proactive, detail-oriented with ability to provide basic troubleshooting support"
Service Desk Analyst,St Vincent's Health Australia,Sydney CBD NSW,Full time,,"Provide first level technical support via phone and ticketing system • Diagnose and troubleshoot hardware, software, and network issues • Strong technical proficiency in Windows, networking, and O365 services"
IT Operations Analyst,Stake,Sydney NSW,Full time,,"Provide technical support for hardware, OS, and applications onsite/remotely • Administer Google Suite, Microsoft 365, Jumpcloud, and network systems • Assist in onboarding/offboarding processes, VC room equipment maintenance"
Gymnastics Instructor,Macquarie University,Ryde NSW,Part time,,"Promote diversity, equity, and inclusion in gymnastics instruction • Flexible work arrangements to support personal commitments • Opportunity to contribute to an outcome-focused and inclusive workplace"
IT Support Technician,Dermalogica,Chatswood NSW,Full time,,"Provide 1st line support for PC issues in various environments • Install hardware, software, perform diagnostics, and maintain IT equipment • Microsoft Certified Azure, Windows, troubleshooting, HSC required"
"IT/Tech Support Engineer - Canva Sydney Campus, On-site",Canva,Sydney NSW,,,"Provide on-site & remote tech support at Sydney office • Support Canva hardware, AV for events, and global users • Experience with MDM-managed Apple devices and office infrastructure"
IT Automation Support Specialist,Real Time Australia,Sydney CBD NSW,Contract,"$100,000 - $100,000","Troubleshoot complex technical issues beyond first-line support • Debug Java, JavaScript, and scripting languages in IT environments • Experience with ITOM/ITAM tools, networking, and relational databases"
Level 1 Support Technician,NextGen HR Pty Ltd,Castle Hill NSW,Full time,"$52,000 - $55,000",Provide exceptional customer service and technical support • Experience in MSP and customer service is a must • Opportunity for certifications and career growth within the company
