title,company,location,job_type,salary,description
Ict Test Engineer,Greenoz Solutions,Dandenong VIC,Full time,"$75,000 - $85,000",Provide Level 1 and Level 2 IT support • Conduct system testing and troubleshoot bugs • Bachelor's degree in IT or related field required
Software Test Engineer,Saint Lukes Medical Centre Pty Ltd,Traralgon VIC,Full time,"$85,000 - $95,000","Design and execute test plans for healthcare management applications • Ensure security, compliance, and data integrity in healthcare systems • Minimum 5 years experience in systems testing and Linux servers"
"Quality Assurance Engineer, TikTok Media Network",TikTok,Sydney NSW,Full time,,"Ensure product quality on live-streaming and RTC systems • Develop automation for new features, regression tests, and CICD • Bachelor's in IT/Computer Science, coding skills in Python/Go/Java"
Ict Test Engineer,Adactin Group Pty. Ltd.,Parramatta NSW,Full time,"$80,000 - $100,000","Designing test plans, scripts, and procedures for software testing • Experience with JIRA or HP Quality Center and test automation tools • Advanced skills in UI, web, and mobile app testing"
QA Validation,Evolve Scientific,Braeside VIC,Full time,,"Ensure manufacturing processes meet specifications in pharmaceutical industry • Develop and review validation protocols for equipment, utilities, and processes • Tertiary education in Science, Engineering or Pharmaceutical Science required"
CSO - Test,Affinity Education Group,Brisbane QLD,Part time,,Back to job listing
Quality Engineering Manager,ASX,Sydney NSW,Full time,,Develop and implement testing and quality engineering processes • Collaborate with internal teams and external partners for testing • Experience in modern testing practices and methodologies required
Quality Assurance Automation Engineer,Kirra Services,Australia,,,Quality Assurance Automation Engineer
"Test Lead, ieMR Program",Metro North Hospital & Health Service,Fortitude Valley QLD,Full time,"$121,360 - $129,998","Lead system integration and regression testing activities • Collaborate with teams and stakeholders for test preparation and resolution • Contribute to test planning, automation, and service improvement opportunities"
A04 Quality Assurance Officer,Osborne Richardson,Brisbane QLD,Contract,$57 - $57,Implement quality assurance processes across product development lifecycle • Maintain Continuous Improvement Register and conduct quality reviews • Experience in educational or government setting with attention to detail
Quality Assurance Engineer,LIFX,Cremorne VIC,Full time,"$80,000 - $100,000","Design testing strategy, automate tests, ensure product quality • Work with IoT products, diverse technical stack exposure • Encourages learning new technologies, diverse candidates welcome"
QA/QC Associate,Care Essentials,North Geelong VIC,Full time,"$65,000 - $75,000","Support QA Manager in maintaining regulatory requirements and product quality • Assist in preparing quality documentation, audits, and equipment maintenance • Science/engineering degree, 1-2 years quality system experience"
Senior Test Engineer (00010473),Compare the Market,Brisbane QLD,Permanent,,Senior Test Engineer
Quality Engineer - Production,Rheinmetall Defence Australia,Brisbane QLD,Contract,,"Oversee vehicle, module, and assembly inspections in MILVEHCOE • Lead investigation, analysis, and countermeasure of quality issues • Mechanical or Quality Engineering qualification with audit experience required"
Software Quality Engineer (Medtech / Medical Devices),WorkTrybe,Gold Coast QLD,Full time,,"Review and approve technical documentation for software compliance • Collaborate with cross-functional teams in regulated MedTech environment • 5+ years software quality engineering, compliance expertise needed"
Quality Inspector,Ultra Clean Technology,Tewantin QLD,,,"Ensure quality standards in semiconductor parts cleaning processes • Conduct shopfloor audits and document findings for follow-up actions • Support failure analysis, root cause investigation, and shift work"
Quality Engineering Specialist,Accenture,Melbourne VIC,Full time,,"Develop detailed test plans and execute tests to validate functionality • Manage defects, conduct tool analysis, and drive defects resolution • Lead sub teams, collaborate with stakeholders, and ensure successful releases"
Continuous Improvement Quality Assurance Specialist,Southern Metropolitan Cemeteries Trust,Springvale VIC,Full time,,"Implement and improve Quality Assurance Framework and data standards • Coach teams, conduct audits, and contribute to business improvement initiatives • Experience in quality assurance, data governance, and stakeholder engagement"
Intern - Quality Assurance Regulatory Affairs,Resmed,Sydney NSW,Full time,,Ensure regulatory compliance and quality best practices • Support resolving non-conformances and liaise with internal customers • 2nd year engineering or science student with problem-solving skills
Quality Assurance Advisor,Civmec,Henderson WA,Full time,,Conduct audits to ensure compliance with project specifications and standards • Provide training on quality standards and processes to project teams • Maintain Quality Management System in line with ISO standards
QA Team Lead,Adree,South Australia,,,"Lead QA investigations and ensure product quality compliance • Develop procedures, monitor risks, and report to managers • Bachelor’s in IT, 8+ years QA experience, Six Sigma certification"
QA,Ucroo Pty Ltd,Melbourne VIC,Full time,"$50,000 - $70,000","Develop and execute test plans to identify software defects • Automate testing processes and provide detailed feedback to developers • Minimum 3 years QA experience, proficiency in manual and automated testing"
Quality Assurance Specialist,GP One Consulting,Brisbane QLD,Full time,,"Coordinate testing activities for major project data migration • Proficiency in writing test cases using Xray and Jira • Experience in software testing, QA coordination, and stakeholder engagement"
Adelaide-Senior Consultant-Quality Engineering,Planit Testing,Adelaide SA,,,"Lead large teams in delivering quality-testing solutions • Mentor teams, drive continuous learning, and shape quality standards • Architect enterprise-wide quality policies and drive full-lifecycle enhancements"
Test Engineer,Whizdom,Canberra ACT,Contract,$140 - $160,Test Engineer with Positive Vetting security clearance required • Develop and execute testing plans for ICT infrastructure solutions • Manage testing and reporting of network infrastructure components
Quality Assurance Specialist,EPG Payroll & HR Australia,Caringbah NSW,Permanent,"$76,515 - $110,000","Develop, implement, and manage comprehensive quality assurance system • Provide leadership for regulatory strategies and significant changes • Bachelor's degree or 5 years experience, ISO certifications preferred"
Testing and Evaluation Engineer,Downer,Canberra ACT,Full time,,"Define verification strategy and propose scenarios for cybersecurity projects • Certified SAFe® Practitioner with experience in HP ALM or JIRA • Hold Security clearance, strong communication skills, and AT&E knowledge"
